source;target;Hierarchy
4(a)(ii);60;paragraphs
4(a)(ii);61;paragraphs
4(a)(ii);62;paragraphs
4(a)(ii);63;paragraphs
4(a)(ii);64;paragraphs
4(a)(ii);65;paragraphs
4(a)(ii);65A;paragraphs
4(a)(ii);66;paragraphs
4(a)(ii);66A;paragraphs
4(a)(ii);66B;paragraphs
4(a)(ii);67;paragraphs
4(a)(ii);68;paragraphs
4(a)(ii);69;paragraphs
4(a)(ii);70;paragraphs
4(a)(ii);70A;paragraphs
6;B2;paragraphs
6;B3;paragraphs
6;B4;paragraphs
6;B5;paragraphs
6;B6;paragraphs
6;B7;paragraphs
6;B8;paragraphs
6;B9;paragraphs
6;B10;paragraphs
6;B11;paragraphs
6;B12;paragraphs
6;B13;paragraphs
6;B14;paragraphs
6;B15;paragraphs
6;B16;paragraphs
6;B17;paragraphs
6;B18;paragraphs
6;B19;paragraphs
6;B20;paragraphs
6;B21;paragraphs
6;B22;paragraphs
6;B23;paragraphs
6;B24;paragraphs
6;B25;paragraphs
6;B26;paragraphs
6;B27;paragraphs
6;B28;paragraphs
6;B29;paragraphs
6;B30;paragraphs
10;11;paragraphs
10;12;paragraphs
10;13;paragraphs
11(b);B31;paragraphs
11(b);B32;paragraphs
12;B33;paragraphs
12;B34;paragraphs
12;B35;paragraphs
13;11;paragraphs
13;12;paragraphs
18;53;paragraphs
18;54;paragraphs
18;55;paragraphs
18;56;paragraphs
18;57;paragraphs
18;58;paragraphs
18;59;paragraphs
20;14;paragraphs
20;15;paragraphs
20;16;paragraphs
20;17;paragraphs
20;18;paragraphs
20;19;paragraphs
22;16;paragraphs
22;17;paragraphs
22;18;paragraphs
22;19;paragraphs
22;20;paragraphs
22;21;paragraphs
23;14;paragraphs
23;15;paragraphs
23;16;paragraphs
23;17;paragraphs
23;18;paragraphs
23;19;paragraphs
23;20;paragraphs
23;21;paragraphs
23;22;paragraphs
24;14;paragraphs
24;15;paragraphs
24;16;paragraphs
24;17;paragraphs
24;18;paragraphs
24;19;paragraphs
24;20;paragraphs
24;21;paragraphs
24;22;paragraphs
24;23;paragraphs
24;32(a);paragraphs
24;40(a)(i);paragraphs
24;40(b);paragraphs
26;25(a);paragraphs
26;25(b);paragraphs
29;30;paragraphs
29;31;paragraphs
29;32;paragraphs
29;33;paragraphs
29;34;paragraphs
29;35;paragraphs
29;36;paragraphs
29;37;paragraphs
29;38;paragraphs
29;39;paragraphs
29;40;paragraphs
29;41;paragraphs
29;42;paragraphs
29;43;paragraphs
29;44;paragraphs
29;45;paragraphs
29;46;paragraphs
29;47;paragraphs
29;48;paragraphs
29;49;paragraphs
29;50;paragraphs
29;51;paragraphs
29;52;paragraphs
29(a);55;paragraphs
29(a);56;paragraphs
29(a);57;paragraphs
29(a);58;paragraphs
29(a);59;paragraphs
29(b);32;paragraphs
29(b);33;paragraphs
29(b);34;paragraphs
29(b);35;paragraphs
29(b);36;paragraphs
29(b);37;paragraphs
29(b);38;paragraphs
29(b);39;paragraphs
29(b);40;paragraphs
29(b);41;paragraphs
29(b);42;paragraphs
29(b);43;paragraphs
29(b);44;paragraphs
29(b);45;paragraphs
29(b);46;paragraphs
29(b);63;paragraphs
29(b);64;paragraphs
29(b);65;paragraphs
29(b);65A;paragraphs
29(b);66;paragraphs
29(b);66A;paragraphs
29(b);66B;paragraphs
29(b);67;paragraphs
29(b);68;paragraphs
29(b);69;paragraphs
29(b);70;paragraphs
29(b);70A;paragraphs
29(c);32;paragraphs
29(c);33;paragraphs
29(c);34;paragraphs
29(c);35;paragraphs
29(c);36;paragraphs
29(c);37;paragraphs
29(c);38;paragraphs
29(c);39;paragraphs
29(c);40;paragraphs
29(c);41;paragraphs
29(c);42;paragraphs
29(c);43;paragraphs
29(c);44;paragraphs
